number,person,from,to
27,"Chifley, JB",13.7.1945,1.11.1946
27,"Forde, FM",13.7.1945,1.11.1946
27,"Evatt, HV",13.7.1945,1.11.1946
27,"Beasley, JA",13.7.1945,14.8.1946
27,"Makin, NJO",13.7.1945,15.8.1946
27,"Drakeford, AS",15.8.1946,1.11.1946
27,"Dedman, JJ",15.8.1946,1.11.1946
27,"Keane, Senator RV",13.7.1945,26.4.1946
27,"Fraser, Senator JM",18.6.1946,18.6.1946
27,"Holloway, EJ",13.7.1945,1.11.1946
27,"Scully, WJ",13.7.1945,1.11.1946
27,"Ashley, Senator WP",13.7.1945,1.11.1946
27,"Collings, Senator JS",13.7.1945,1.11.1946
27,"Ward, EJ",13.7.1945,1.11.1946
27,"McKenna, Senator NE",18.6.1946,1.11.1946
27,"Frost, CW",13.7.1945,1.11.1946
27,"Lazzarini, HP",13.7.1945,1.2.1946
27,"Cameron, Senator D",13.7.1945,1.11.1946
27,"Calwell, AA",13.7.1945,1.11.1946
27,"Johnson, HV",13.7.1945,1.11.1946
28,"Chifley, JB",1.11.1946,19.12.1949
28,"Evatt, HV",1.11.1946,19.12.1949
28,"Holloway, EJ",1.11.1946,19.12.1949
28,"Drakeford, AS",1.11.1946,19.12.1949
28,"Scully, WJ",1.11.1946,19.12.1949
28,"Ashley, Senator WP",1.11.1946,19.12.1949
28,"Dedman, JJ",1.11.1946,19.12.1949
28,"Ward, EJ",1.11.1946,19.12.1949
28,"Cameron, Senator D",1.11.1946,19.12.1949
28,"Calwell, AA",1.11.1946,19.12.1949
28,"Johnson, HV",1.11.1946,19.12.1949
28,"McKenna, Senator NE",1.11.1946,19.12.1949
28,"Pollard, RT",1.11.1946,19.12.1949
28,"Lemmon, N",1.11.1946,19.12.1949
28,"Armstrong, Senator JI",1.11.1946,19.12.1949
28,"Chambers, C",1.11.1946,19.12.1949
28,"Courtice, Senator B",1.11.1946,19.12.1949
28,"Riordan, WJF",1.11.1946,19.12.1949
28,"Barnard, HC",1.11.1946,19.12.1949
29,"Menzies, RG",19.12.1949,11.5.1951
29,"Fadden, AW (CP)",19.12.1949,11.5.1951
29,"Harrison, EJ",19.12.1949,11.5.1951
29,"McBride, PAM",24.10.1950,24.10.1950
29,"Holt, HE",19.12.1949,11.5.1951
29,"McEwen, J (CP)",19.12.1949,11.5.1951
29,"Spender, PC",19.12.1949,26.4.1951
29,"Casey, RG",27.4.1951,11.5.1951
29,"Beale, OH",17.3.1950,17.3.1950
29,"Page, ECG (CP)",19.12.1949,11.5.1951
29,"O'Sullivan, Senator N",19.12.1949,11.5.1951
29,"McLeay, Senator G",19.12.1949,11.5.1951
29,"White, TW",19.12.1949,11.5.1951
29,"Anthony, HL (CP)",19.12.1949,11.5.1951
29,"Francis, J",19.12.1949,11.5.1951
29,"Spicer, Senator JA",19.12.1949,11.5.1951
29,"Lyons, EM",19.12.1949,7.3.1951
