number,cabinet,cabinet_party,cabinet_from,cabinet_to,person,from,to
16,Scullin Ministry,ALP,22.10.1929,6.1.1932,"Dooley, Senator JB",3.3.1931,6.1.1932
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Lyons, JA",6.1.1932,29.11.1937
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Casey, RG",3.10.1935,12.10.1934
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Latham, JG",6.1.1932,12.10.1934
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Menzies, RG",12.10.1934,7.11.1938
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Pearce, Senator GF",12.10.1934,12.10.1934
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Hughes, WM",29.11.1937,29.11.1937
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Parkhill, RA",12.10.1934,13.10.1932
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Thorby, HVC (CP)",29.11.1937,1.9.1935
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Gullett, HS",6.1.1932,11.3.1937
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"White, TW",14.1.1933,7.11.1938
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Fenton, JE",6.1.1932,13.10.1932
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"McLachlan, Senator AJ",12.10.1934,29.11.1937
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Marr, CWC",6.1.1932,31.12.1934
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Perkins, JA",13.10.1932,7.11.1938
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Harrison, EJ",12.10.1934,9.11.1934
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Paterson, T (CP)",9.11.1934,29.11.1937
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"McEwen, J (CP)",29.11.1937,7.11.1938
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Hawker, CAS",6.1.1932,12.4.1932
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Stewart, FH",13.10.1932,9.11.1934
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Page, ECG (CP)",9.11.1934,7.11.1938
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Foll, Senator HS",29.11.1937,7.11.1938
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Lawson, Senator HSW",24.5.1934,12.10.1934
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Francis, J",6.1.1932,9.11.1934
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Hunter, JAJ (CP)",11.9.1936,29.11.1937
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Bruce, SM",23.6.1932,29.6.1932
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Massy-Greene, W",6.1.1932,25.9.1933
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Thompson, VC (CP)",29.11.1937,7.11.1938
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Brennan, Senator TC",9.11.1934,29.11.1937
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Guy, JA",13.10.1932,12.10.1934
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"MacDonald, Senator ANÊ",29.11.1937,7.11.1938
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Cameron, AG (CP)",6.1.1932,7.11.1938
17,Lyons Ministry ,UAP,6.1.1932,7.11.1938,"Massy-Greene, SenatorÊ",6.1.1932,23.6.1932
