number,ministry,ministry_party,ministry_from,ministry_to,level,job,person,job_from,job_to,comment,,
9,Cook Ministry ,LIB,24.6.1913,17.9.1914,Minister,Vice-President of Executive Council,"McColl, Senator JH",24.6.1913,17.9.1914,,,
9,Cook Ministry ,LIB,24.6.1913,17.9.1914,Minister,Minister (without portfolio),"Clemons, Senator JS",24.6.1913,17.9.1914,,,
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,Minister,Prime Minister,"Fisher, A",17.9.1914,27.10.1915,,,
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,Minister,Treasurer,"Fisher, A",17.9.1914,27.10.1915,,,
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,Minister,Attorney-General,"Hughes, WM",17.9.1914,27.10.1915,,,
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,Minister,Minister for Defence,"Pearce, Senator GF",17.9.1914,27.10.1915,,,
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,Minister,Minister for Trade and Customs ,"Tudor, FG",17.9.1914,27.10.1915,,,
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,Minister,Minister for External Affairs,"Arthur, JA",17.9.1914,9.12.1914,,,
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,Minister,Minister for External Affairs,"Mahon, H",14.12.1914,27.10.1915,,,
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,Minister,Minister for Home Affairs,"Archibald, WO",17.9.1914,27.10.1915,,,
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,Minister,Postmaster-General,"Spence, WG",17.9.1914,27.10.1915,,,
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,Minister,Vice-President of Executive Council,"Gardiner, Senator A",17.9.1914,27.10.1915,,,
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,Minister,Minister for the Navy,"Jensen, JA",12.7.1915,27.10.1915,,,
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,Assistant ministers,Assistant Minister,"Russell, Senator EJ",17.9.1914,27.10.1915,,,
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,Assistant ministers,Assistant Minister,"Mahon, H",17.9.1914,14.12.1914,,,
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,Assistant ministers,Assistant Minister,"Jensen, JA",17.9.1914,12.7.1915,,,
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,Minister,Prime Minister,"Hughes, WM",27.10.1915,14.11.1916,,,
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,Minister,Attorney-General,"Hughes, WM",27.10.1915,14.11.1916,,,
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,Minister,Minister for Defence,"Pearce, Senator GF",27.10.1915,14.11.1916,,,
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,Minister,Minister for Trade and Customs,"Tudor, FG",27.10.1915,14.9.1916,,,
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,Minister,Minister for Trade and Customs,"Hughes, WM",29.9.1916,14.11.1916,,,
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,Minister,Minister for External Affairs ,"Mahon, H",27.10.1915,14.11.1916,,,
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,Minister,Minister for the Navy,"Jensen, JA",27.10.1915,14.11.1916,,,
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,Minister,Treasurer,"Higgs, WG",27.10.1915,27.10.1916,,,
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,Minister,Minister for Home Affairs,"O'Malley, K",27.10.1915,14.11.1916,,,
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,Minister,Postmaster-General,"Webster, W",27.10.1915,14.11.1916,,,
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,Minister,Vice-President of Executive Council,"Gardiner, Senator A",27.10.1915,27.10.1916,,,
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,Assistant ministers,Assistant Minister,"Russell, Senator EJ",27.10.1915,27.10.1916,,,
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,Minister,Prime Minister,"Hughes, WM",14.11.1916,17.2.1917,,,
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,Minister,Attorney-General,"Hughes, WM",14.11.1916,17.2.1917,,,
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,Minister,Minister for Defence,"Pearce, Senator GF",14.11.1916,17.2.1917,,,
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,Minister,Minister for the Navy,"Jensen, JA",14.11.1916,17.2.1917,,,
