uniqueID,senatorsState,senatorFrom,senatorTo,senatorEndReason,sec15Sel,senatorComments
Lundy1967,ACT,1996-03-02,2015-03-24,Resigned,0,"Pursuant to the Senate (Representation of Territories) Act 1973, a Senator's term of service expires at the close of the day next preceding the polling day for the general election of Members of the House of Representatives."
Lynch1867,WA,1907-01-01,1938-06-30,Defeated,0,NA
MacDonald1880,QLD,1922-05-26,1922-12-15,Defeated,1,NA
MacDonald1880,QLD,1928-08-01,1928-11-16,Defeated,1,NA
MacDonald1880,QLD,1932-07-01,1937-08-17,Died,0,NA
MacDonald1892,WA,1935-03-05,1947-06-30,Defeated,1,NA
Macdonald1945,QLD,1990-07-01,2019-06-30,Resigned,0,NA
Macdonald1954,NSW,1993-07-01,1999-06-30,Defeated,0,NA
Macdonald1954,NSW,2000-05-04,2008-06-30,Retired,1,NA
Macfarlane1844,TAS,1901-03-29,1910-06-30,Defeated,0,NA
MacGibbon1934,QLD,1978-07-01,1999-06-30,Defeated,0,NA
Mackay1960,TAS,1996-03-08,2005-07-29,Resigned,1,NA
Mackellar1844,NSW,1903-10-08,1903-11-30,Resigned,1,NA
Macklin1943,QLD,1981-07-01,1990-06-30,Retired,0,NA
Madigan1966,VIC,2011-07-01,2016-07-02,Defeated,0,NA
Maguire1945,SA,1983-03-05,1993-06-30,Defeated,0,NA
Maher1891,QLD,1949-12-10,1965-06-30,Retired,0,NA
Margetts1955,WA,1993-07-01,1999-06-30,Defeated,0,NA
Marriott1913,TAS,1953-03-03,1953-05-08,Term Expired,1,NA
Marriott1913,TAS,1953-07-01,1975-11-11,Retired,0,NA
Marshall1960,VIC,2002-07-01,2019-06-30,Resigned,0,NA
Martin1960,TAS,2018-02-09,2019-03-20,NA,0,NA
Martyr1932,WA,1981-03-11,1983-02-04,Defeated,1,NA
Marwick1895,WA,1936-08-19,1937-10-22,Defeated,1,NA
Mason1926,NSW,1978-07-01,1987-06-05,Retired,0,NA
Mason1962,QLD,1999-07-01,2015-04-15,Resigned,0,NA
MassyGreene1874,NSW,1923-10-17,1925-11-13,Term Expired,1,NA
MassyGreene1874,NSW,1926-07-01,1938-06-30,Retired,0,NA
